file_name,game_title,game_provider,game_url,original_url,fixed_url,local_path
1spin4win - Allways Egypt Fortune.webp,Allways Egypt Fortune,1spin4win,https://roobet.com/casino/game/1spin4win:AllwaysEgyptFortune,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=90,blur=0,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/1spin4win:AllwaysEgyptFortune-PlOOhlmmU.png","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/1spin4win:AllwaysEgyptFortune-PlOOhlmmU.png",Final_Quality_Fixed\1spin4win\1spin4win - Allways Egypt Fortune.webp
1spin4win - Coins'n Fruits Spins.webp,Coins'n Fruits Spins,1spin4win,https://roobet.com/casino/game/1spin4win-coins-n-fruits-spins,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=90,blur=0,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.eu-central-1.amazonaws.com/game-thumbs/1spin4win_CoinsnFruitsSpins.jpg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.eu-central-1.amazonaws.com/game-thumbs/1spin4win_CoinsnFruitsSpins.jpg",Final_Quality_Fixed\1spin4win\1spin4win - Coins'n Fruits Spins.webp
1spin4win - Lucky Win Spins X.webp,Lucky Win Spins X,1spin4win,https://roobet.com/casino/game/1spin4win-lucky-win-spins-x,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=90,blur=0,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/1spin4win:LuckyWinSpinsX-NVuK5oXRu.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/1spin4win:LuckyWinSpinsX-NVuK5oXRu.jpeg",Final_Quality_Fixed\1spin4win\1spin4win - Lucky Win Spins X.webp
1spin4win - Cash'n Fruits 100 Hold And Win.webp,Cash'n Fruits 100 Hold And Win,1spin4win,https://roobet.com/casino/game/1spin4win-cash-n-fruits-100-hold-and-win,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=90,blur=0,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.eu-central-1.amazonaws.com/game-thumbs/1spin4win_CashnFruits100HoldAndWin.jpg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.eu-central-1.amazonaws.com/game-thumbs/1spin4win_CashnFruits100HoldAndWin.jpg",Final_Quality_Fixed\1spin4win\1spin4win - Cash'n Fruits 100 Hold And Win.webp
1spin4win - Golden Joker 100 Hold And Win.webp,Golden Joker 100 Hold And Win,1spin4win,https://roobet.com/casino/game/1spin4win-golden-joker-100-hold-and-win,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=90,blur=0,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.eu-central-1.amazonaws.com/game-thumbs/1spin4win_GoldenJoker100HoldAndWin.jpg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.eu-central-1.amazonaws.com/game-thumbs/1spin4win_GoldenJoker100HoldAndWin.jpg",Final_Quality_Fixed\1spin4win\1spin4win - Golden Joker 100 Hold And Win.webp
1spin4win - Book of All Ways.webp,Book of All Ways,1spin4win,https://roobet.com/casino/game/1spin4win-book-of-all-ways,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=90,blur=0,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.eu-central-1.amazonaws.com/game-thumbs/1spin4win_BookOfAllWays.jpg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.eu-central-1.amazonaws.com/game-thumbs/1spin4win_BookOfAllWays.jpg",Final_Quality_Fixed\1spin4win\1spin4win - Book of All Ways.webp
1spin4win - Hold The Gold.webp,Hold The Gold,1spin4win,https://roobet.com/casino/game/1spin4win-hold-the-gold,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=90,blur=0,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.eu-central-1.amazonaws.com/game-thumbs/1spin4win_HoldTheGoldHoldAndWin.jpg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.eu-central-1.amazonaws.com/game-thumbs/1spin4win_HoldTheGoldHoldAndWin.jpg",Final_Quality_Fixed\1spin4win\1spin4win - Hold The Gold.webp
1spin4win - Lucky Fruit X.webp,Lucky Fruit X,1spin4win,https://roobet.com/casino/game/1spin4win-lucky-fruit-x,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=90,blur=0,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.eu-central-1.amazonaws.com/game-thumbs/1spin4win_LuckyFruitX.jpg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.eu-central-1.amazonaws.com/game-thumbs/1spin4win_LuckyFruitX.jpg",Final_Quality_Fixed\1spin4win\1spin4win - Lucky Fruit X.webp
1spin4win - Lucky Sakura Win Spins.webp,Lucky Sakura Win Spins,1spin4win,https://roobet.com/casino/game/1spin4win-lucky-sakura-win-spins,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=90,blur=0,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.eu-central-1.amazonaws.com/game-thumbs/1spin4win_LuckySakuraWinSpins.jpg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.eu-central-1.amazonaws.com/game-thumbs/1spin4win_LuckySakuraWinSpins.jpg",Final_Quality_Fixed\1spin4win\1spin4win - Lucky Sakura Win Spins.webp
1spin4win - Golden Joker 243 Hold And Win.webp,Golden Joker 243 Hold And Win,1spin4win,https://roobet.com/casino/game/1spin4win:GoldenJoker243HoldAndWin,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=90,blur=0,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/1spin4win:GoldenJoker243HoldAndWin-OlA6-u4Kq.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/1spin4win:GoldenJoker243HoldAndWin-OlA6-u4Kq.jpeg",Final_Quality_Fixed\1spin4win\1spin4win - Golden Joker 243 Hold And Win.webp
1spin4win - Retro Mega Fruits.webp,Retro Mega Fruits,1spin4win,https://roobet.com/casino/game/1spin4win-retro-mega-fruits,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=90,blur=0,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/1spin4win:RetroMegaFruits-mEuqSYkGH.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/1spin4win:RetroMegaFruits-mEuqSYkGH.jpeg",Final_Quality_Fixed\1spin4win\1spin4win - Retro Mega Fruits.webp
1spin4win - Seven&Wild.webp,Seven&Wild,1spin4win,https://roobet.com/casino/game/1spin4win-seven-wild,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=90,blur=0,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.eu-central-1.amazonaws.com/game-thumbs/1spin4win_SevenAndWild.jpg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.eu-central-1.amazonaws.com/game-thumbs/1spin4win_SevenAndWild.jpg",Final_Quality_Fixed\1spin4win\1spin4win - Seven&Wild.webp
